sr_no,procedure,category,min_price,avg_price,max_price
993,Surgery for recurrent disc prolapse/epidural fibrosis,ent,28980.0,33327.0,33327.0
994,Surgery for brain stem tumours,ent,39589.0,45527.0,45527.0
995,"Decompressive craniotomy for hemishpherical acute
subdural haematoma/brain swelling/large infarct",ent,40000.0,46000.0,46000.0
996,Intra-arterial thrombolysis with TPA (for ischemic stroke ),ent,4600.0,5290.0,5290.0
997,Steriotactic aspiration of intracerebral haematoma,ent,32545.0,37427.0,37427.0
998,Endoscopic aspiration of intracerebellar haematoma,ent,40000.0,46000.0,46000.0
999,"Steriotactic Radiosurgery for brain pathology(X knife/Gamma) - ONE
session",ent,27560.0,31694.0,31694.0
1000,"Steriotactic Radiosurgery for brain pathology(X knife / Gamma knife -Two or
more sessions",ent,51750.0,59513.0,59513.0
1001,Chemotheraphy wafers for malignant brain tumors,ent,14450.0,16618.0,16618.0
1002,Battery Placement for DBS,ent,22000.0,25300.0,25300.0
1003,Baclofen pump implantation for spasticity,ent,15597.0,17937.0,17937.0
1004,Peripheral Nerve tumor surgery,ent,21600.0,24840.0,24840.0
1005,Surgery Intra Cranial Meningioma,ent,20000.0,23000.0,23000.0
1006,Surgery for Intracranial Schwannoma,ent,35000.0,40250.0,40250.0
1007,Surgery for Gliomas,ent,45000.0,51750.0,51750.0
1008,Surgery for Orbital tumors,ent,40000.0,46000.0,46000.0
1009,Surgery for Cranial (Skull) tumors,ent,38500.0,44275.0,44275.0
1010,Surgery for Scalp AVM’s,ent,25000.0,28750.0,28750.0
1011,Kyphoplasty,ent,36000.0,41400.0,41400.0
1012,Balloon Kyphoplasty,ent,40000.0,46000.0,46000.0
1013,Lesioning procedures for Parkinson’s disease Dystonia etc.,ent,31500.0,36225.0,36225.0
1014,Other Major Surgery,ent,42500.0,50000.0,50000.0
1015,Other Minor Surgery,ent,17000.0,20000.0,20000.0
1016,Excision of thyroglossal Duct/Cyst,ent,16000.0,18400.0,18400.0
1017,Diaphragmatic Hernia Repair (Thoracic or Abdominal Approach),ent,15525.0,17854.0,17854.0
1018,Tracheo Oesophageal Fistula (Correction Surgery),ent,23000.0,26450.0,26450.0
1019,Colon Replacement of Oesophagus,ent,20700.0,23805.0,23805.0
1020,Omphalo Mesenteric Cyst Excision,ent,15525.0,17854.0,17854.0
1021,Omphalo Mesenteric Duct- Excision,ent,13973.0,16069.0,16069.0
1022,Meckels Diverticulectomy,ent,3347.0,3849.0,3849.0
1023,Omphalocele 1st Stage (Hernia Repair),ent,13973.0,16069.0,16069.0
1024,Omphalocele 2nd Stge (Hernia Repair),ent,15525.0,17854.0,17854.0
1025,Gastrochisis Repair,ent,14490.0,16664.0,16664.0
1026,Inguinal Herniotomy,ent,11302.0,12998.0,12998.0
1027,Congenital Hydrocele,ent,12000.0,13800.0,13800.0
1028,Hydrocele of Cord,ent,12000.0,13800.0,13800.0
1029,Torsion Testis Operation,ent,15000.0,17250.0,17250.0
1030,Congenital Pyloric Stenosis- operation,ent,12544.0,14426.0,14426.0
1031,Duodenal- Atresia Operation,ent,12600.0,14490.0,14490.0
1032,Pancreatic Ring Operation,ent,22425.0,25789.0,25789.0
1033,Meconium Ileus Operation,ent,14500.0,16675.0,16675.0
1034,Malrotation of Intestines Operation,ent,13000.0,14950.0,14950.0
1035,Rectal Biopsy (Megacolon),ent,8762.0,10076.0,10076.0
1036,Colostomy Transverse,ent,15000.0,17250.0,17250.0
1037,Colostomy Left Iliac,ent,15000.0,17250.0,17250.0
1038,Abdominal Perineal Pull Through (Hirschaprugis Disease),ent,19000.0,21850.0,21850.0
1039,Imperforate Anus Low Anomaly -Cut Back Operation,ent,9212.0,10593.0,10593.0
